Gene_ID	Gene_names	Otholog	Molecular_function	Biological_process	Cellular_component
HUMAN|HGNC=26635|UniProtKB=Q8IWF6	DENND6A	Protein DENND6A;DENND6A;ortholog	GTPase activity(GO:0003824);pyrophosphatase activity(GO:0016787);nucleotide binding(GO:0003924);small GTPase regulator activity(GO:0016462);guanyl-nucleotide exchange factor activity(GO:0005488)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);catabolic process(GO:0006807);nucleobase-containing compound metabolic process(GO:0009056);cell communication(GO:0044238);response to stimulus(GO:0006139);regulation of nucleobase-containing compound metabolic process(GO:0009987);regulation of phosphate metabolic process(GO:0007154);regulation of catalytic activity(GO:0050896)	endosome(GO:0043226);cytoplasm(GO:0005768)
HUMAN|HGNC=24714|UniProtKB=Q8IWZ3	ANKHD1	Ankyrin repeat and KH domain-containing protein 1;ANKHD1;ortholog			
HUMAN|HGNC=18643|UniProtKB=Q8IWZ8	SUGP1	SURP and G-patch domain-containing protein 1;SUGP1;ortholog	catalytic activity(GO:0003824);mRNA binding(GO:0005488)	RNA splicing, via transesterification reactions(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);RNA splicing, via transesterification reactions(GO:0006139)	
HUMAN|HGNC=32310|UniProtKB=Q8IXT5	RBM12B	RNA-binding protein 12B;RBM12B;ortholog	structural constituent of ribosome(GO:0005198);nucleic acid binding(GO:0003735)	mRNA splicing, via spliceosome(GO:0008152)	
HUMAN|HGNC=17136|UniProtKB=Q8IY81	FTSJ3	pre-rRNA processing protein FTSJ3;FTSJ3;ortholog			
HUMAN|HGNC=17731|UniProtKB=Q8N2M8	CLASRP	CLK4-associating serine/arginine rich protein;CLASRP;ortholog	catalytic activity(GO:0003824);mRNA binding(GO:0005488)	RNA splicing, via transesterification reactions(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);RNA splicing, via transesterification reactions(GO:0006139)	
HUMAN|HGNC=30672|UniProtKB=Q8N3V7	SYNPO	Synaptopodin;SYNPO;ortholog	structural constituent of cytoskeleton(GO:0005198);actin binding(GO:0005200)	cellular component movement(GO:0009987);cellular component morphogenesis(GO:0006928);cellular component organization(GO:0032502)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=17860|UniProtKB=Q8NC51	SERBP1	Plasminogen activator inhibitor 1 RNA-binding protein;SERBP1;ortholog	RNA binding(GO:0005488)	primary metabolic process(GO:0008152)	
HUMAN|HGNC=25906|UniProtKB=Q8NCF5	NFATC2IP	NFATC2-interacting protein;NFATC2IP;ortholog		cellular protein modification process(GO:0008152);cell cycle(GO:0044238)	
HUMAN|HGNC=24303|UniProtKB=Q8NDT2	RBM15B	Putative RNA-binding protein 15B;RBM15B;ortholog	RNA binding(GO:0005488)	transcription from RNA polymerase II promoter(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	
HUMAN|HGNC=9836|UniProtKB=Q8NFJ5	GPRC5A	Retinoic acid-induced protein 3;GPRC5A;ortholog	receptor activity(GO:0004872)	cellular process(GO:0009987)	
HUMAN|HGNC=19073|UniProtKB=Q8NI27	THOC2	THO complex subunit 2;THOC2;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);protein binding(GO:0001071)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=30611|UniProtKB=Q8TCJ2	STT3B	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B;STT3B;ortholog	transferase activity, transferring glycosyl groups(GO:0003824)	protein glycosylation(GO:0008152)	
HUMAN|HGNC=24170|UniProtKB=Q8TDN6	BRIX1	Ribosome biogenesis protein BRX1 homolog;BRIX1;ortholog	nucleic acid binding(GO:0005488)	cellular process(GO:0009987);organelle organization(GO:0071840);cellular component biogenesis(GO:0016043)	nucleus(GO:0043226);intracellular(GO:0005634)
HUMAN|HGNC=21222|UniProtKB=Q8TF01	PNISR	Arginine/serine-rich protein PNISR;PNISR;ortholog			
HUMAN|HGNC=19682|UniProtKB=Q8TF76	GSG2	Serine/threonine-protein kinase haspin;GSG2;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cell communication(GO:0044238);response to stimulus(GO:0019538);regulation of biological process(GO:0006464)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=15702|UniProtKB=Q8WUA2	PPIL4	Peptidyl-prolyl cis-trans isomerase-like 4;PPIL4;ortholog	isomerase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);biosynthetic process(GO:0006807);transcription from RNA polymerase II promoter(GO:0009058);protein phosphorylation(GO:0044238);cellular process(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0016070);regulation of phosphate metabolic process(GO:0006351)	
HUMAN|HGNC=30023|UniProtKB=Q8WW12	PCNP	PEST proteolytic signal-containing nuclear protein;PCNP;ortholog			
HUMAN|HGNC=17068|UniProtKB=Q8WX93	PALLD	Palladin;PALLD;ortholog	phosphoprotein phosphatase activity(GO:0003824);phosphoprotein phosphatase activity(GO:0016787);receptor activity(GO:0016788)	cellular protein modification process(GO:0008152);cell cycle(GO:0044238);cell adhesion(GO:0019538);muscle contraction(GO:0006464);mesoderm development(GO:0009987);anatomical structure morphogenesis(GO:0007049);muscle organ development(GO:0022610)	extracellular matrix(GO:0031012)
HUMAN|HGNC=30778|UniProtKB=Q8WXI9	GATAD2B	Transcriptional repressor p66-beta;GATAD2B;ortholog	nucleic acid binding(GO:0005488);chromatin binding(GO:0003676)	transcription from RNA polymerase II promoter(GO:0008152);cellular process(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139);chromatin organization(GO:0016070)	
HUMAN|HGNC=20961|UniProtKB=Q92625	ANKS1A	Ankyrin repeat and SAM domain-containing protein 1A;ANKS1A;ortholog		cell cycle(GO:0009987)	
HUMAN|HGNC=367|UniProtKB=Q92667	AKAP1	A-kinase anchor protein 1, mitochondrial;AKAP1;ortholog	nuclease activity(GO:0003824);nucleic acid binding(GO:0016787);receptor binding(GO:0016788)	nucleobase-containing compound metabolic process(GO:0008152);cell communication(GO:0044238);protein targeting(GO:0006139)	
HUMAN|HGNC=16858|UniProtKB=Q92738	USP6NL	USP6 N-terminal-like protein;USP6NL;ortholog	hydrolase activity(GO:0003824);protein binding(GO:0016787);small GTPase regulator activity(GO:0005488)	metabolic process(GO:0008152);cellular process(GO:0009987);cellular component morphogenesis(GO:0032502);intracellular protein transport(GO:0009653);exocytosis(GO:0032989);regulation of catalytic activity(GO:0051179);cellular component organization(GO:0006810)	
HUMAN|HGNC=12630|UniProtKB=Q93009	USP7	Ubiquitin carboxyl-terminal hydrolase 7;USP7;ortholog			
HUMAN|HGNC=16273|UniProtKB=Q96A49	SYAP1	Synapse-associated protein 1;SYAP1;ortholog		cellular process(GO:0009987)	
HUMAN|HGNC=25178|UniProtKB=Q96CP2	FLYWCH2	FLYWCH family member 2;FLYWCH2;ortholog			
HUMAN|HGNC=23490|UniProtKB=Q96E09	FAM122A	Protein FAM122A;FAM122A;ortholog			
HUMAN|HGNC=6960|UniProtKB=Q96EZ8	MCRS1	Microspherule protein 1;MCRS1;ortholog			
HUMAN|HGNC=28289|UniProtKB=Q96F63	CCDC97	Coiled-coil domain-containing protein 97;CCDC97;ortholog			ribonucleoprotein complex(GO:0032991);nucleus(GO:0030529);intracellular(GO:0043226)
HUMAN|HGNC=15837|UniProtKB=Q96GQ7	DDX27	Probable ATP-dependent RNA helicase DDX27;DDX27;ortholog	RNA helicase activity(GO:0003824);translation initiation factor activity(GO:0004386);translation initiation factor activity(GO:0003724);translation initiation factor activity(GO:0005488)	nucleobase-containing compound metabolic process(GO:0008152);translation(GO:0044238);regulation of translation(GO:0006139)	
HUMAN|HGNC=28637|UniProtKB=Q96II8	LRCH3	Leucine-rich repeat and calponin homology domain-containing protein 3;LRCH3;ortholog			
HUMAN|HGNC=20311|UniProtKB=Q96JM3	CHAMP1	Chromosome alignment-maintaining phosphoprotein 1;CHAMP1;ortholog			
HUMAN|HGNC=29503|UniProtKB=Q96JN0	LCOR	Ligand-dependent corepressor;LCOR;ortholog	DNA-directed RNA polymerase activity(GO:0003824);nucleic acid binding(GO:0016740)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=20758|UniProtKB=Q96K21	ZFYVE19	Zinc finger FYVE domain-containing protein 19;ZFYVE19;ortholog		cell communication(GO:0009987);intracellular protein transport(GO:0007154)	
HUMAN|HGNC=21726|UniProtKB=Q96PE2	ARHGEF17	Rho guanine nucleotide exchange factor 17;ARHGEF17;ortholog			
HUMAN|HGNC=20570|UniProtKB=Q96S94	CCNL2	Cyclin-L2;CCNL2;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);kinase activity(GO:0003712);sequence-specific DNA binding transcription factor activity(GO:0001071);mRNA binding(GO:0003700);protein binding(GO:0003824);kinase activator activity(GO:0016740);kinase regulator activity(GO:0016301)	transcription from RNA polymerase II promoter(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);cell cycle(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0016070);regulation of catalytic activity(GO:0006351)	nucleus(GO:0043226);intracellular(GO:0005634)
HUMAN|HGNC=20764|UniProtKB=Q96S99	PLEKHF1	Pleckstrin homology domain-containing family F member 1;PLEKHF1;ortholog		cell communication(GO:0009987);intracellular protein transport(GO:0007154)	
HUMAN|HGNC=18118|UniProtKB=Q96T23	RSF1	Remodeling and spacing factor 1;RSF1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);acetyltransferase activity(GO:0003700);sequence-specific DNA binding transcription factor activity(GO:0003824);chromatin binding(GO:0016740)	transcription from RNA polymerase II promoter(GO:0008152);protein acetylation(GO:0044238);cell cycle(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0016070)	
HUMAN|HGNC=14959|UniProtKB=Q96T37	RBM15	Putative RNA-binding protein 15;RBM15;ortholog	RNA binding(GO:0005488)	transcription from RNA polymerase II promoter(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	
HUMAN|HGNC=11623|UniProtKB=Q99081	TCF12	Transcription factor 12;TCF12;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	female gamete generation(GO:0000003);transcription from RNA polymerase II promoter(GO:0007276);ectoderm development(GO:0007292);sex determination(GO:0008152);nervous system development(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	
HUMAN|HGNC=9554|UniProtKB=Q99460	PSMD1	26S proteasome non-ATPase regulatory subunit 1;PSMD1;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);enzyme regulator activity(GO:0005515)	proteolysis(GO:0008152);cell cycle(GO:0044238);regulation of catalytic activity(GO:0019538)	
HUMAN|HGNC=14624|UniProtKB=Q99618	CDCA3	Cell division cycle-associated protein 3;CDCA3;ortholog			
HUMAN|HGNC=5034|UniProtKB=Q99729	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B;HNRNPAB;ortholog		neurological system process(GO:0032501);ectoderm development(GO:0044707);nervous system development(GO:0003008)	
HUMAN|HGNC=3801|UniProtKB=Q99958	FOXC2	Forkhead box protein C2;FOXC2;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);transcription from RNA polymerase II promoter(GO:0009058);cellular process(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=24304|UniProtKB=Q9BPX3	NCAPG	Condensin complex subunit 3;NCAPG;ortholog		mitosis(GO:0009987)	
HUMAN|HGNC=23366|UniProtKB=Q9BPX5	ARPC5L	Actin-related protein 2/3 complex subunit 5-like protein;ARPC5L;ortholog	structural constituent of cytoskeleton(GO:0005198)	cellular component movement(GO:0009987)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=1005|UniProtKB=Q9BQE9	BCL7B	B-cell CLL/lymphoma 7 protein family member B;BCL7B;ortholog			
HUMAN|HGNC=30258|UniProtKB=Q9BRP8	WIBG	Partner of Y14 and mago;WIBG;ortholog			
HUMAN|HGNC=27849|UniProtKB=Q9BUH6	C9orf142	Uncharacterized protein C9orf142;C9orf142;ortholog			
HUMAN|HGNC=14142|UniProtKB=Q9BUT9	FAM195A	Protein FAM195A;FAM195A;ortholog	transmembrane receptor protein tyrosine kinase activity(GO:0003824);transmembrane receptor protein tyrosine kinase activity(GO:0016740);transmembrane receptor protein tyrosine kinase activity(GO:0016301)	apoptotic process(GO:0006915);protein phosphorylation(GO:0008152);cell communication(GO:0044238);apoptotic process(GO:0019538);negative regulation of apoptotic process(GO:0006464)	
HUMAN|HGNC=4917|UniProtKB=Q9BW71	HIRIP3	HIRA-interacting protein 3;HIRIP3;ortholog			
HUMAN|HGNC=13831|UniProtKB=Q9BZH6	WDR11	WD repeat-containing protein 11;WDR11;ortholog			
HUMAN|HGNC=29369|UniProtKB=Q9C0B0	UNK	RING finger protein unkempt homolog;UNK;ortholog			
HUMAN|HGNC=25990|UniProtKB=Q9C0C7	AMBRA1	Activating molecule in BECN1-regulated autophagy protein 1;AMBRA1;ortholog		catabolic process(GO:0008152);cellular process(GO:0009056)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=3245|UniProtKB=Q9H223	EHD4	EH domain-containing protein 4;EHD4;ortholog	catalytic activity(GO:0003824);calcium ion binding(GO:0005488);protein binding(GO:0005509);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);synaptic transmission(GO:0009987);neurotransmitter secretion(GO:0007154);intracellular protein transport(GO:0007267);endocytosis(GO:0007268);regulation of catalytic activity(GO:0032501)	
HUMAN|HGNC=9162|UniProtKB=Q9H307	PNN	Pinin;PNN;ortholog		cellular process(GO:0009987)	
HUMAN|HGNC=16165|UniProtKB=Q9H410	DSN1	Kinetochore-associated protein DSN1 homolog;DSN1;ortholog			
HUMAN|HGNC=3378|UniProtKB=Q9H4G0	EPB41L1	Band 4.1-like protein 1;EPB41L1;ortholog			
HUMAN|HGNC=26273|UniProtKB=Q9H5H4	ZNF768	Zinc finger protein 768;ZNF768;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=19351|UniProtKB=Q9H694	BICC1	Protein bicaudal C homolog 1;BICC1;ortholog	lipid transporter activity(GO:0005215);RNA binding(GO:0005319)	lipid metabolic process(GO:0008152);mitosis(GO:0044238);chromosome segregation(GO:0006629);endoderm development(GO:0009987);embryo development(GO:0007049);lipid transport(GO:0007067)	
HUMAN|HGNC=30403|UniProtKB=Q9H7N4	SCAF1	Splicing factor, arginine/serine-rich 19;SCAF1;ortholog			
HUMAN|HGNC=14672|UniProtKB=Q9H981	ACTR8	Actin-related protein 8;ACTR8;ortholog	structural constituent of cytoskeleton(GO:0005198)	cytokinesis(GO:0009987);mitosis(GO:0000910);intracellular protein transport(GO:0007049);exocytosis(GO:0007067);endocytosis(GO:0051179);cellular component organization(GO:0006810)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=15846|UniProtKB=Q9NP74	PALMD	Palmdelphin;PALMD;ortholog		cellular process(GO:0009987)	
HUMAN|HGNC=13509|UniProtKB=Q9NQS1	AVEN	Cell death regulator Aven;AVEN;ortholog			
HUMAN|HGNC=4591|UniProtKB=Q9NRY4	ARHGAP35	Rho GTPase-activating protein 35;ARHGAP35;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515)	primary metabolic process(GO:0008152);cellular component movement(GO:0044238);regulation of catalytic activity(GO:0009987)	
HUMAN|HGNC=25482|UniProtKB=Q9NWB6	ARGLU1	Arginine and glutamate-rich protein 1;ARGLU1;ortholog			
HUMAN|HGNC=20709|UniProtKB=Q9NWH9	SLTM	SAFB-like transcription modulator;SLTM;ortholog			
HUMAN|HGNC=17619|UniProtKB=Q9NXR1	NDE1	Nuclear distribution protein nudE homolog 1;NDE1;ortholog	cytoskeletal protein binding(GO:0005488)	cellular component movement(GO:0009987);mitosis(GO:0006928);locomotion(GO:0007049);transport(GO:0007067);protein localization(GO:0040011);cytoskeleton organization(GO:0051179)	protein complex(GO:0032991);chromosome(GO:0043234);cytoskeleton(GO:0043226);intracellular(GO:0005694)
HUMAN|HGNC=24325|UniProtKB=Q9NXV6	CDKN2AIP	CDKN2A-interacting protein;CDKN2AIP;ortholog	DNA binding(GO:0005488)	transcription from RNA polymerase II promoter(GO:0008152);mRNA transcription(GO:0044238);mRNA transcription(GO:0006139)	
HUMAN|HGNC=25330|UniProtKB=Q9P2B4	CTTNBP2NL	CTTNBP2 N-terminal-like protein;CTTNBP2NL;ortholog			
HUMAN|HGNC=11828|UniProtKB=Q9UDY2	TJP2	Tight junction protein ZO-2;TJP2;ortholog		cellular process(GO:0009987);anatomical structure morphogenesis(GO:0032502)	plasma membrane(GO:0016020);cell part(GO:0005886)
HUMAN|HGNC=11631|UniProtKB=Q9UGU0	TCF20	Transcription factor 20;TCF20;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=2743|UniProtKB=Q9UHI6	DDX20	Probable ATP-dependent RNA helicase DDX20;DDX20;ortholog	RNA helicase activity(GO:0003824);translation initiation factor activity(GO:0004386);translation initiation factor activity(GO:0003724);translation initiation factor activity(GO:0005488)	nucleobase-containing compound metabolic process(GO:0008152);translation(GO:0044238);regulation of translation(GO:0006139)	
HUMAN|HGNC=17042|UniProtKB=Q9UHX1	PUF60	Poly(U)-binding-splicing factor PUF60;PUF60;ortholog			
HUMAN|HGNC=961|UniProtKB=Q9UIG0	BAZ1B	Tyrosine-protein kinase BAZ1B;BAZ1B;ortholog	acetyltransferase activity(GO:0003824);nucleic acid binding(GO:0016740);chromatin binding(GO:0016746)	transcription from RNA polymerase II promoter(GO:0008152);cellular process(GO:0044238);chromatin organization(GO:0006139)	
HUMAN|HGNC=24035|UniProtKB=Q9UKG1	APPL1	DCC-interacting protein 13-alpha;APPL1;ortholog	catalytic activity(GO:0003824);nucleic acid binding(GO:0005488);protein binding(GO:0003676);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);cellular process(GO:0009987);regulation of catalytic activity(GO:0065007)	
HUMAN|HGNC=20861|UniProtKB=Q9ULF5	SLC39A10	Zinc transporter ZIP10;SLC39A10;ortholog	transmembrane transporter activity(GO:0005215)	ion transport(GO:0051179)	
HUMAN|HGNC=18583|UniProtKB=Q9ULR3	PPM1H	Protein phosphatase 1H;PPM1H;ortholog	kinase activity(GO:0003824);phosphoprotein phosphatase activity(GO:0016740);phosphoprotein phosphatase activity(GO:0016301);protein binding(GO:0016787);kinase inhibitor activity(GO:0016788);kinase regulator activity(GO:0016791)	protein phosphorylation(GO:0008152);cell communication(GO:0044238);regulation of catalytic activity(GO:0019538)	
